ship,overview,staterooms,accessible,signature_features,total
_unmapped,0,0,0,0,433
adventure-of-the-seas,16,91,4,3,114
allura,0,13,2,0,15
allure-of-the-seas,0,37,2,0,39
amsterdam,3,26,1,0,30
anthem-of-the-seas,1,50,0,1,52
carnival-celebration,3,42,0,0,45
carnival-conquest,0,23,0,0,23
carnival-cruise-line,1,8,0,0,9
carnival-firenze,13,38,0,0,51
carnival-freedom,3,1,0,0,4
carnival-glory,0,45,3,0,48
carnival-horizon,0,45,2,0,47
carnival-jubilee,0,651,23,0,674
carnival-mardi-gras,3,25,0,0,28
carnival-venezia,4,34,0,0,38
celebration,11,351,19,0,381
celebrity-apex,0,18,0,0,18
celebrity-ascent,1,3,1,0,5
celebrity-cruises,3,87,11,0,101
celebrity-eclipse,0,12,1,0,13
celebrity-edge,1,29,2,1,33
celebrity-equinox,0,19,1,0,20
celebrity-infinity,0,12,0,0,12
celebrity-millennium,1,9,1,0,11
celebrity-reflection,10,11,3,4,28
celebrity-solstice,0,7,0,0,7
celebrity-summit,0,9,1,0,10
disney-wonder,0,1,0,0,1
enchantment-of-the-seas,1,0,0,0,1
explorer-of-the-seas,1,48,9,0,58
freedom-of-the-seas,2,21,0,0,23
grandeur-of-the-seas,1,11,2,0,14
harmony-of-the-seas,1,2,1,0,4
holiday,1,2,1,1,5
holland-america-line,1,40,3,0,44
horizon,0,29,1,0,30
icon-of-the-seas,3,39,8,1,51
independence,0,19,0,0,19
insignia,0,12,0,0,12
jewel-of-the-seas,1,36,0,0,37
legend-of-the-seas,0,10,0,0,10
liberty-of-the-seas,1,1,0,0,2
majesty-of-the-seas,0,10,1,0,11
marina,0,48,0,0,48
mariner-of-the-seas,1,11,1,0,13
nautica,0,10,0,0,10
navigator-of-the-seas,3,27,1,0,31
none,1,16,1,0,18
norway,2,39,1,0,42
norwegian-aqua,0,63,8,0,71
norwegian-bliss,2,27,5,0,34
norwegian-breakaway,0,25,1,0,26
norwegian-encore,2,31,1,0,34
norwegian-epic,0,6,0,0,6
norwegian-escape,1,19,1,0,21
norwegian-gem,0,17,0,0,17
norwegian-getaway,0,6,1,0,7
norwegian-jade,0,14,0,0,14
norwegian-joy,0,38,2,0,40
norwegian-luna,2,4,0,0,6
norwegian-pearl,0,19,0,0,19
norwegian-prima,4,45,2,0,51
norwegian-sky,0,8,0,0,8
norwegian-spirit,1,11,0,0,12
norwegian-sun,0,15,0,0,15
norwegian-viva,1,18,1,0,20
oasis-of-the-seas,0,28,0,0,28
odyssey-of-the-seas,1,27,1,0,29
ovation-of-the-seas,26,49,7,9,91
pride-of-america,1,17,0,0,18
quantum-of-the-seas,0,20,0,0,20
regatta,0,22,0,0,22
rhapsody-of-the-seas,0,14,0,0,14
riviera,0,39,0,1,40
seaward,0,1,0,0,1
serenade-of-the-seas,1,13,0,0,14
seven-seas-grandeur,1,14,0,0,15
seven-seas-mariner,0,10,0,0,10
seven-seas-navigator,0,10,0,0,10
seven-seas-splendor,0,9,0,0,9
sirena,0,8,0,0,8
spectrum-of-the-seas,1,10,1,0,12
star-of-the-seas,2,24,9,0,35
symphony-of-the-seas,2,18,0,0,20
united-states,0,8,0,0,8
utopia-of-the-seas,39,16,0,0,55
viking-aegir,0,5,1,0,6
viking-mars,1,8,1,0,10
viking-neptune,1,11,1,0,13
viking-saturn,1,9,1,0,11
vision-of-the-seas,1,0,0,0,1
vista,1,78,6,0,85
wonder-of-the-seas,2,37,0,0,39
